gs_name,gene_symbol
B cells.Immune system,IGLC1
B cells.Immune system,IL21R
B cells.Immune system,IGKC
B cells.Immune system,VPREB1
B cells.Immune system,LRMP
B cells.Immune system,KLHL6
B cells.Immune system,SLAMF6
B cells.Immune system,FAM129C
B cells.Immune system,BST1
B cells.Immune system,MSH5
B cells.Immune system,DOK3
B cells.Immune system,BACH2
B cells.Immune system,PXK
B cells.Immune system,IGHG1
B cells.Immune system,IGHG3
B cells.Immune system,IGHG4
B cells.Immune system,CD38
B cells.Immune system,PTPRC
B cells.Immune system,EBF1
B cells.Immune system,BCL11A
B cells.Immune system,CCR7
B cells.Immune system,CD55
B cells.Immune system,CD74
B cells.Immune system,CD52
B cells.Immune system,TLR9
B cells.Immune system,SWAP70
B cells.Immune system,HMGA1
B cells memory.Immune system,CD38
B cells memory.Immune system,CD80
B cells memory.Immune system,CD84
B cells memory.Immune system,CD86
B cells memory.Immune system,NT5E
Basophils.Immune system,OSBPL5
Basophils.Immune system,OTUB2
Basophils.Immune system,P2RY1
Basophils.Immune system,PDK3
Basophils.Immune system,PDZD4
Basophils.Immune system,PERP
Basophils.Immune system,PIGY
Basophils.Immune system,PLEKHG5
Basophils.Immune system,PLG
Basophils.Immune system,RNF39
Basophils.Immune system,SLC26A3
Basophils.Immune system,SLC26A8
Basophils.Immune system,SNCAIP
Basophils.Immune system,ST6GALNAC5
Basophils.Immune system,SUPT3H
Basophils.Immune system,TULP3
Basophils.Immune system,TEC
Basophils.Immune system,UNC93A
Basophils.Immune system,WRN
Basophils.Immune system,ID1
Bergmann glia.Brain,GFAP
Bergmann glia.Brain,GDF10
Bergmann glia.Brain,GJB6
Bergmann glia.Brain,GRIA4
Bergmann glia.Brain,GRM3
Bergmann glia.Brain,NTSR2
Bergmann glia.Brain,ITIH3
Bergmann glia.Brain,A2M
Bergmann glia.Brain,PTCH1
Bergmann glia.Brain,CDC42EP4
Bergmann glia.Brain,BTBD17
Bergmann glia.Brain,AQP4
Bergmann glia.Brain,SLC4A4
Bergmann glia.Brain,HOPX
Bergmann glia.Brain,GPR37L1
Bergmann glia.Brain,ACSBG1
Bergmann glia.Brain,ALDH1L1
Bergmann glia.Brain,SLC1A3
Bergmann glia.Brain,SLC1A2
Bergmann glia.Brain,S100B
Bergmann glia.Brain,VIM
Bergmann glia.Brain,FABP7
Bergmann glia.Brain,TTC21B
Bergmann glia.Brain,HEPACAM
Bergmann glia.Brain,ZEB2
Bergmann glia.Brain,UFL1
Bergmann glia.Brain,NRXN3
Bergmann glia.Brain,ATP7A
Bergmann glia.Brain,BICD2
Bergmann glia.Brain,GJA1
Bergmann glia.Brain,METRN
Bergmann glia.Brain,P2RX7
Bergmann glia.Brain,EGFR
Bergmann glia.Brain,GRIA1
Bergmann glia.Brain,P2RY1
Bergmann glia.Brain,GRIN2B
Bergmann glia.Brain,GRIN3A
Bergmann glia.Brain,SEPT4
Bergmann glia.Brain,DAO
Bergmann glia.Brain,ITGB1
Bergmann glia.Brain,KIF1BP
Beta cells.Pancreas,GCGR
Beta cells.Pancreas,JPH3
Beta cells.Pancreas,CD40
Beta cells.Pancreas,HAMP
Beta cells.Pancreas,EZH1
Beta cells.Pancreas,NTRK1
Beta cells.Pancreas,PDX1
Beta cells.Pancreas,SLC2A2
Beta cells.Pancreas,NKX6-2
Beta cells.Pancreas,FXYD2
Beta cells.Pancreas,NPY
Beta cells.Pancreas,INS
Beta cells.Pancreas,RIMS1
Beta cells.Pancreas,MAFA
Beta cells.Pancreas,EFNA5
Beta cells.Pancreas,LMX1A
Beta cells.Pancreas,NKX2-2
Beta cells.Pancreas,NKX6-1
Beta cells.Pancreas,PAX4
Beta cells.Pancreas,IAPP
Beta cells.Pancreas,PCSK2
Beta cells.Pancreas,G6PC2
Beta cells.Pancreas,SLC30A8
Beta cells.Pancreas,PCSK1
Beta cells.Pancreas,GJD2
Beta cells.Pancreas,SCGN
Beta cells.Pancreas,IGF2
Beta cells.Pancreas,SYT13
Beta cells.Pancreas,FFAR2
Beta cells.Pancreas,NPTX2
Beta cells.Pancreas,PFKFB2
Beta cells.Pancreas,EDARADD
Beta cells.Pancreas,HOPX
Beta cells.Pancreas,SH3GL2
Beta cells.Pancreas,ADCYAP1
Beta cells.Pancreas,SCGB2A1
Beta cells.Pancreas,CASR
Beta cells.Pancreas,MAFB
Beta cells.Pancreas,PAX6
Beta cells.Pancreas,NEUROD1
Beta cells.Pancreas,ISL1
Beta cells.Pancreas,TGFBR3
Beta cells.Pancreas,SMAD9
Beta cells.Pancreas,SIX3
Beta cells.Pancreas,SIX2
Beta cells.Pancreas,BMP5
Beta cells.Pancreas,PIR
Beta cells.Pancreas,STXBP5
Beta cells.Pancreas,DLK1
Beta cells.Pancreas,MEG3
Beta cells.Pancreas,RGS16
Cajal-Retzius cells.Brain,RELN
Cajal-Retzius cells.Brain,DIABLO
Cajal-Retzius cells.Brain,ST3GAL5
Cajal-Retzius cells.Brain,ISOC1
Cajal-Retzius cells.Brain,SMOC2
Cajal-Retzius cells.Brain,DYNC1I1
Cajal-Retzius cells.Brain,NHLH2
Cajal-Retzius cells.Brain,CLSTN2
Cajal-Retzius cells.Brain,TMEM163
Cajal-Retzius cells.Brain,CACNA2D2
Cajal-Retzius cells.Brain,CIB2
Cajal-Retzius cells.Brain,NDNF
Cajal-Retzius cells.Brain,LINGO1
Cajal-Retzius cells.Brain,LNPK
Cajal-Retzius cells.Brain,RNF138
Cajal-Retzius cells.Brain,TMEM170B
