IC	Gene	n_genes	phenotype
IC6	WRB	428	OxPhos
IC7	PSAT1	173	
IC7	ASNS	173	
IC7	NUPR1	173	
IC7	TRIB3	173	
IC7	PCK2	173	
IC7	SLC7A11	173	
IC7	MTHFD2	173	
IC7	CHAC1	173	
IC7	CTH	173	
IC7	SLC38A1	173	
IC7	CEBPG	173	
IC7	FAM129A	173	
IC7	PHGDH	173	
IC7	DDIT3	173	
IC7	SESN2	173	
IC7	WARS	173	
IC7	SLC3A2	173	
IC7	SLC1A5	173	
IC7	XPOT	173	
IC7	PSPH	173	
IC7	AARS	173	
IC7	ABHD4	173	
IC7	EIF4EBP1	173	
IC7	TXNIP	173	
IC7	GARS	173	
IC7	ARHGEF2	173	
IC7	ADM2	173	
IC7	ATF5	173	
IC7	YARS	173	
IC7	GOT1	173	
IC7	SHMT2	173	
IC7	RNF41	173	
IC7	VCAM1	173	
IC7	SLC7A1	173	
IC7	MARS	173	
IC7	CBS	173	
IC7	SLC1A4	173	
IC7	HERPUD1	173	
IC7	SLC7A5	173	
IC7	DDIT4	173	
IC7	IFRD1	173	
IC7	TUFT1	173	
IC7	STC2	173	
IC7	TNFAIP6	173	
IC7	TARS	173	
IC7	GRPEL2	173	
IC7	GPT2	173	
IC7	SARS	173	
IC7	XBP1	173	
IC7	PNMA2	173	
IC7	CLDN1	173	
IC7	VLDLR	173	
IC7	RCAN1	173	
IC7	CARS	173	
IC7	MTRNR2L8	173	
IC7	UHRF1BP1	173	
IC7	TUBE1	173	
IC7	PHF17	173	
IC7	GFPT1	173	
IC7	MTHFD1L	173	
IC7	PYCR1	173	
IC7	PXK	173	
IC7	BEX2	173	
IC7	ALDH1L2	173	
IC7	HSPA13	173	
IC7	IFNGR1	173	
IC7	CTGF	173	
IC7	LARP6	173	
IC7	GDF15	173	
IC7	BGN	173	
IC7	IARS	173	
IC7	NTM	173	
IC7	PAX6	173	
IC7	ANK2	173	
IC7	UNC5B	173	
IC7	C19orf48	173	
IC7	SLC6A9	173	
IC7	NR3C2	173	
IC7	LRRC8D	173	
IC7	RP11-390P2.4	173	
IC7	RP13-259F12.2	173	
IC7	TM6SF1	173	
IC7	HIVEP1	173	
IC7	HLA-B	173	
IC7	DDR2	173	
IC7	HAX1	173	
IC7	ITGA1	173	
IC7	COL4A1	173	
IC7	ATF4	173	
IC7	PSIP1	173	
IC7	CCPG1	173	
IC7	CREB5	173	
IC7	RNF13	173	
IC7	PDXK	173	
IC7	JAG1	173	
IC7	EPS8	173	
IC7	CLMN	173	
IC7	NPIP	173	
IC7	FERMT2	173	
IC7	SLC48A1	173	
IC7	PTPDC1	173	
IC7	ECM2	173	
IC7	NNMT	173	
IC7	AJUBA	173	
IC7	SYNE1	173	
IC7	C8orf4	173	
IC7	TIMM44	173	
IC7	LRIG1	173	
IC7	NARS	173	
IC7	ATAD1	173	
IC7	PXDC1	173	
IC7	MFAP4	173	
IC7	ATG13	173	
IC7	RCN1	173	
IC7	SGPL1	173	
IC7	KIF1A	173	
IC7	L3HYPDH	173	
IC7	HLA-A	173	
IC7	COL12A1	173	
IC7	RAB23	173	
IC7	PTX3	173	
IC7	EIF2S2	173	
IC7	GTPBP2	173	
IC7	GPX8	173	
IC7	TXNRD1	173	
IC7	ERP29	173	
IC7	TMEM222	173	
IC7	FSTL1	173	
IC7	DAB2	173	
IC7	C5orf28	173	
IC7	APBB2	173	
IC7	INHBE	173	
IC7	SDC2	173	
IC7	RMND5A	173	
IC7	TOM1L1	173	
IC7	ACTA2	173	
IC7	KLF7	173	
IC7	PELI2	173	
IC7	UCK2	173	
IC7	HIST1H4C	173	
IC7	NTN4	173	
IC7	ALPK2	173	
IC7	mars-01	173	
IC7	IL6	173	
IC7	DLG1	173	
IC7	CLU	173	
IC7	CCDC82	173	
IC7	MTRNR2L1	173	
IC7	ZCCHC8	173	
IC7	PELO	173	
IC7	ITGA11	173	
IC7	NRG1	173	
IC7	NEDD4	173	
IC7	TMEM47	173	
IC7	ITGAV	173	
IC7	CSGALNACT2	173	
IC7	CALCOCO2	173	
IC7	TLE4	173	
IC7	CTPS1	173	
IC7	RP11-125B21.2	173	
IC7	PARD3B	173	
IC7	OGT	173	
IC7	LRRC16A	173	
IC7	RASSF1	173	
IC7	SLFN5	173	
IC7	EXOSC8	173	
IC7	CGGBP1	173	
IC7	PDCD4	173	
IC7	SEL1L3	173	
IC7	COG5	173	
IC7	DNASE2	173	
IC7	TPD52L1	173	
IC7	UGGT2	173	
IC8	ACTC1	290	
IC8	CHRNA1	290	
IC8	TNNT2	290	
IC8	H19	290	
IC8	TNNI1	290	
IC8	ANKRD1	290	
IC8	SHISA2	290	
IC8	DES	290	
IC8	NCAM1	290	
IC8	NES	290	
IC8	IL32	290	
IC8	SDPR	290	
IC8	MEF2C	290	
IC8	RAPSN	290	
IC8	HSPB3	290	
IC8	MYBPH	290	
IC8	SYNPO2	290	
IC8	CELF2	290	
IC8	CAP2	290	
IC8	KBTBD10	290	
IC8	PDLIM3	290	
IC8	F13A1	290	
IC8	TRIM55	290	
IC8	CDH13	290	
IC8	KLHL30	290	
IC8	MYL4	290	
IC8	ASB5	290	
IC8	ITGA6	290	
IC8	NUAK1	290	
IC8	B3GALT2	290	
IC8	TTN	290	
IC8	VAMP5	290	
IC8	FNDC5	290	
IC8	IGF2	290	
IC8	ALDH1A1	290	
IC8	MSTN	290	
IC8	MFAP5	290	
IC8	C1orf198	290	
IC8	IGDCC4	290	
IC8	C3orf58	290	
IC8	RASSF4	290	
IC8	CHN1	290	
IC8	MRAS	290	
IC8	CHRNB1	290	
IC8	CRYAB	290	
IC8	JAM3	290	
IC8	SOX11	290	
IC8	C21orf7	290	
IC8	CAV3	290	
IC8	HEYL	290	
IC8	INPP4B	290	
IC8	SYTL2	290	
IC8	PRUNE2	290	
IC8	SFTA1P	290	
IC8	NPNT	290	
IC8	RBM24	290	
IC8	MYH3	290	
IC8	NEXN	290	
IC8	PALLD	290	
IC8	SGCD	290	
IC8	CYB5R1	290	
IC8	LRRC17	290	
IC8	NAV3	290	
IC8	MYF5	290	
IC8	MURC	290	
IC8	PLEKHA6	290	
IC8	ADAMTS5	290	
IC8	ADAM19	290	
IC8	SORT1	290	
IC8	THBS1	290	
IC8	TNNC1	290	
IC8	ACTA2	290	
IC8	PLCB4	290	
IC8	PDGFA	290	
IC8	DAPK1	290	
IC8	DCLK1	290	
IC8	ITGA7	290	
IC8	MYLPF	290	
IC8	SKP2	290	
IC8	LBH	290	
IC8	CEP112	290	
IC8	MAP1A	290	
IC8	JAM2	290	
IC8	ALPK3	290	
IC8	ABLIM1	290	
IC8	MUSK	290	
IC8	CD82	290	
IC8	TNFAIP2	290	
IC8	ENO3	290	
IC8	DMD	290	
IC8	LMO7	290	
IC8	GFRA1	290	
IC8	XIST	290	
IC8	DYSF	290	
IC8	NGFR	290	
IC8	ARPP21	290	
IC8	RUNX1	290	
IC8	CSRP2	290	
IC8	SGCA	290	
IC8	PPP1R14B	290	
IC8	NNMT	290	
IC8	FLNC	290	
IC8	TNFSF4	290	
IC8	GYS1	290	
IC8	UCP2	290	
IC8	FBXO32	290	
IC8	KLF5	290	
IC8	FABP3	290	
IC8	KIAA1199	290	
IC8	CAV2	290	
IC8	FAM65B	290	
IC8	XIRP1	290	
IC8	ABLIM3	290	
IC8	KIAA0754	290	
IC8	MYLK	290	
IC8	CKB	290	
IC8	CDK6	290	
IC8	ZEB1	290	
IC8	OLFML3	290	
IC8	TNNT1	290	
IC8	COL11A1	290	
IC8	P4HA2	290	
IC8	MACF1	290	
IC8	ADARB1	290	
IC8	FADS3	290	
IC8	KCNJ6	290	
IC8	C10orf54	290	
IC8	VASH2	290	
IC8	TMEM8C	290	
IC8	CCND2	290	
IC8	MTRNR2L1	290	
IC8	ZEB2	290	
IC8	DAG1	290	
IC8	IP6K3	290	
IC8	CPED1	290	
IC8	ATP2B1	290	
IC8	S100A4	290	
IC8	OLFML2A	290	
IC8	MYL1	290	
IC8	TNS1	290	
IC8	SIK1	290	
IC8	GRAMD3	290	
IC8	SLC29A1	290	
IC8	SHD	290	
IC8	MYOG	290	
IC8	BCAT1	290	
IC8	PARD3B	290	
IC8	DDX60L	290	
IC8	FBN1	290	
IC8	MEGF10	290	
IC8	EMP2	290	
IC8	TUFT1	290	
IC8	DOCK9	290	
IC8	MICAL1	290	
IC8	TUBB6	290	
IC8	S100A6	290	
IC8	VGLL3	290	
IC8	TSC22D3	290	
IC8	CFL2	290	
IC8	TMEM108	290	
IC8	FRY	290	
IC8	SCN5A	290	
IC8	STK17B	290	
IC8	FRAS1	290	
IC8	CASQ2	290	
IC8	HSPG2	290	
IC8	GPC1	290	
IC8	CDC42EP3	290	
IC8	MYH2	290	
IC8	CCNY	290	
IC8	ANKS1A	290	
IC8	ZFP106	290	
IC8	HES6	290	
IC8	TSTD1	290	
IC8	OXTR	290	
IC8	MAP3K5	290	
IC8	TAGLN	290	
IC8	TPPP3	290	
IC8	PLK2	290	
IC8	LZTS1	290	
IC8	AJUBA	290	
IC8	PDLIM1	290	
IC8	ALPK2	290	
IC8	CDV3	290	
IC8	MYO18B	290	
IC8	THSD1	290	
IC8	CDKN1C	290	
IC8	CHD7	290	
IC8	SLC44A2	290	
IC8	GLIPR2	290	
IC8	FAM49A	290	
IC8	DDAH1	290	
IC8	DAB2	290	
IC8	RNF144B	290	
IC8	SPATS2L	290	
IC8	NEB	290	
IC8	SFRP4	290	
IC8	CKAP2	290	
IC8	SORBS2	290	
IC8	PBXIP1	290	
IC8	HAS2	290	
IC8	CAV1	290	
IC8	TMEM47	290	
IC8	RYR1	290	
IC8	ALPL	290	
IC8	KIF13B	290	
IC8	HTRA1	290	
IC8	ALDH1B1	290	
IC8	CALD1	290	
IC8	SNTB1	290	
IC8	EPDR1	290	
IC8	KLHL31	290	
IC8	ASAH1	290	
IC8	DUSP10	290	
IC8	OXSR1	290	
IC8	RTKN2	290	
IC8	CDH15	290	
IC8	FAT1	290	
IC8	ELN	290	
IC8	ABL2	290	
IC8	ARNT2	290	
IC8	PURB	290	
IC8	PLAU	290	
IC8	RP11-47I22.3	290	
IC8	LDB3	290	
IC8	ARHGEF6	290	
IC8	KIAA1549	290	
IC8	GSN	290	
IC8	ACTN2	290	
IC8	RBFOX1	290	
IC8	CLCN5	290	
IC8	TRIM8	290	
IC8	KRT80	290	
IC8	PTGDS	290	
IC8	AC025335.1	290	
IC8	BACE2	290	
IC8	SYNPO2L	290	
IC8	USP2	290	
IC8	MYH7	290	
IC8	ELMOD1	290	
IC8	LSP1	290	
IC8	PDGFC	290	
IC8	MYF6	290	
IC8	CASP3	290	
IC8	FGD4	290	
IC8	PTPN21	290	
IC8	MLLT11	290	
IC8	PHACTR2	290	
IC8	EPB41L2	290	
IC8	AFAP1L1	290	
IC8	UPRT	290	
IC8	CCNG2	290	
IC8	NTM	290	
IC8	EPS8	290	
IC8	TPM1	290	
IC8	TCF7L1	290	
IC8	RAD21	290	
IC8	ITGA4	290	
IC8	FAM198B	290	
IC8	PODXL	290	
IC8	LMOD3	290	
IC8	SEMA3C	290	
IC8	LYPD6B	290	
IC8	ANTXR1	290	
IC8	TGFB2	290	
IC8	JPH2	290	
IC8	FOLR1	290	
IC8	PACS2	290	
IC8	RP11-356J5.12	290	
IC8	TMEFF2	290	
IC8	ECM1	290	
IC8	SLC38A4	290	
IC8	S100A16	290	
IC8	DUSP13	290	
IC8	AK5	290	
IC8	SAMD5	290	
IC8	PEA15	290	
IC8	ZNF556	290	
IC8	CLIC4	290	
IC8	ARHGAP10	290	
IC8	TTC9	290	
IC8	SERINC2	290	
IC8	PALM2	290	
IC8	NEDD4	290	
IC8	MAMDC2	290	
IC8	TET1	290	
IC8	UGCG	290	
IC8	ZBTB20	290	
IC8	FAM110B	290	
IC8	HSPB8	290	
IC9	SPEN	275	mRNA_splicing
IC9	BPTF	275	mRNA_splicing
IC9	PNN	275	mRNA_splicing
IC9	ZNF292	275	mRNA_splicing
IC9	FNBP4	275	mRNA_splicing
IC9	ARID1A	275	mRNA_splicing
IC9	RBM25	275	mRNA_splicing
IC9	NASP	275	mRNA_splicing
IC9	UBR4	275	mRNA_splicing
IC9	ASH1L	275	mRNA_splicing
IC9	MLL3	275	mRNA_splicing
IC9	JMJD1C	275	mRNA_splicing
IC9	MLL	275	mRNA_splicing
IC9	NKTR	275	mRNA_splicing
IC9	SRSF11	275	mRNA_splicing
IC9	AKAP9	275	mRNA_splicing
IC9	NIPBL	275	mRNA_splicing
IC9	ZNF638	275	mRNA_splicing
IC9	TOP1	275	mRNA_splicing
IC9	ANKRD11	275	mRNA_splicing
IC9	MGEA5	275	mRNA_splicing
IC9	MAP4K4	275	mRNA_splicing
IC9	LUC7L3	275	mRNA_splicing
IC9	ILF3	275	mRNA_splicing
IC9	PUM1	275	mRNA_splicing
IC9	USP34	275	mRNA_splicing
IC9	NEMF	275	mRNA_splicing
IC9	PRRC2C	275	mRNA_splicing
IC9	ADAR	275	mRNA_splicing
IC9	KDM5A	275	mRNA_splicing
IC9	GOLGB1	275	mRNA_splicing
IC9	UBXN4	275	mRNA_splicing
IC9	TPR	275	mRNA_splicing
IC9	PNISR	275	mRNA_splicing
IC9	IPO5	275	mRNA_splicing
IC9	CKAP5	275	mRNA_splicing
IC9	REV3L	275	mRNA_splicing
IC9	RBBP6	275	mRNA_splicing
IC9	GCFC1	275	mRNA_splicing
IC9	ANKRD36	275	mRNA_splicing
IC9	MAT2A	275	mRNA_splicing
IC9	UBR5	275	mRNA_splicing
IC9	PRPF4B	275	mRNA_splicing
IC9	CHD6	275	mRNA_splicing
IC9	ATRX	275	mRNA_splicing
IC9	BCLAF1	275	mRNA_splicing
IC9	EIF3A	275	mRNA_splicing
IC9	SON	275	mRNA_splicing
IC9	BDP1	275	mRNA_splicing
IC9	MACF1	275	mRNA_splicing
IC9	RIF1	275	mRNA_splicing
IC9	BIRC6	275	mRNA_splicing
IC9	SRRM1	275	mRNA_splicing
IC9	PRPF38B	275	mRNA_splicing
IC9	MLL5	275	mRNA_splicing
IC9	RSF1	275	mRNA_splicing
IC9	SETX	275	mRNA_splicing
IC9	HUWE1	275	mRNA_splicing
IC9	DDX24	275	mRNA_splicing
IC9	CD46	275	mRNA_splicing
IC9	BOD1L1	275	mRNA_splicing
IC9	KIF1B	275	mRNA_splicing
IC9	PHF3	275	mRNA_splicing
IC9	NAV1	275	mRNA_splicing
IC9	THOC2	275	mRNA_splicing
IC9	DDX21	275	mRNA_splicing
IC9	ELP2	275	mRNA_splicing
IC9	BRWD1	275	mRNA_splicing
IC9	HECTD1	275	mRNA_splicing
IC9	MYO10	275	mRNA_splicing
IC9	DYNC1H1	275	mRNA_splicing
IC9	UBA2	275	mRNA_splicing
IC9	CHD7	275	mRNA_splicing
IC9	SETD5	275	mRNA_splicing
IC9	CHD9	275	mRNA_splicing
IC9	RANBP2	275	mRNA_splicing
IC9	BAZ1B	275	mRNA_splicing
IC9	CHD2	275	mRNA_splicing
IC9	RCOR3	275	mRNA_splicing
IC9	TOP2B	275	mRNA_splicing
IC9	PCM1	275	mRNA_splicing
IC9	MALAT1	275	mRNA_splicing
IC9	ZNF644	275	mRNA_splicing
IC9	RBFOX2	275	mRNA_splicing
IC9	ZCCHC11	275	mRNA_splicing
IC9	PUM2	275	mRNA_splicing
IC9	DDX18	275	mRNA_splicing
IC9	SENP6	275	mRNA_splicing
IC9	GART	275	mRNA_splicing
IC9	NSD1	275	mRNA_splicing
IC9	CCDC88A	275	mRNA_splicing
IC9	ESF1	275	mRNA_splicing
IC9	NRD1	275	mRNA_splicing
IC9	ARID4B	275	mRNA_splicing
IC9	GOLGA8A	275	mRNA_splicing
IC9	SF3B1	275	mRNA_splicing
IC9	TUG1	275	mRNA_splicing
IC9	DHX9	275	mRNA_splicing
IC9	ATF7IP	275	mRNA_splicing
IC9	DST	275	mRNA_splicing
IC9	SYNCRIP	275	mRNA_splicing
IC9	SRRM2	275	mRNA_splicing
IC9	KIAA0020	275	mRNA_splicing
IC9	PSME4	275	mRNA_splicing
IC9	SLC25A36	275	mRNA_splicing
IC9	GCC2	275	mRNA_splicing
IC9	HNRNPM	275	mRNA_splicing
IC9	RABGGTB	275	mRNA_splicing
IC9	SUN1	275	mRNA_splicing
IC9	SUZ12	275	mRNA_splicing
IC9	CAPRIN1	275	mRNA_splicing
IC9	WDR43	275	mRNA_splicing
IC9	MARK3	275	mRNA_splicing
IC9	SMC3	275	mRNA_splicing
IC9	TTC3	275	mRNA_splicing
IC9	ZRANB2	275	mRNA_splicing
IC9	GLG1	275	mRNA_splicing
IC9	MGA	275	mRNA_splicing
IC9	TNRC6B	275	mRNA_splicing
IC9	DYNC2H1	275	mRNA_splicing
IC9	EIF4A2	275	mRNA_splicing
IC9	CELF1	275	mRNA_splicing
IC9	PRKDC	275	mRNA_splicing
IC9	RBM26	275	mRNA_splicing
IC9	EIF5B	275	mRNA_splicing
IC9	CCNL2	275	mRNA_splicing
IC9	DDX46	275	mRNA_splicing
IC9	EIF3B	275	mRNA_splicing
IC9	PCNX	275	mRNA_splicing
IC9	NBAS	275	mRNA_splicing
IC9	UGDH-AS1	275	mRNA_splicing
IC9	AFF4	275	mRNA_splicing
IC9	QSER1	275	mRNA_splicing
IC9	ASAP1	275	mRNA_splicing
IC9	NBPF10	275	mRNA_splicing
IC9	WNK1	275	mRNA_splicing
IC9	ZKSCAN1	275	mRNA_splicing
IC9	SMC5	275	mRNA_splicing
IC9	MYH10	275	mRNA_splicing
IC9	SMG1	275	mRNA_splicing
IC9	ANKRD36B	275	mRNA_splicing
IC9	SFPQ	275	mRNA_splicing
IC9	SF1	275	mRNA_splicing
IC9	KTN1	275	mRNA_splicing
IC9	NBPF14	275	mRNA_splicing
IC9	MPP5	275	mRNA_splicing
IC9	MCL1	275	mRNA_splicing
IC9	TRIM33	275	mRNA_splicing
IC9	CHD1	275	mRNA_splicing
IC9	DICER1	275	mRNA_splicing
IC9	OGT	275	mRNA_splicing
IC9	ZFR	275	mRNA_splicing
IC9	RBM5	275	mRNA_splicing
IC9	SNRNP200	275	mRNA_splicing
IC9	TNRC6A	275	mRNA_splicing
IC9	DDX42	275	mRNA_splicing
IC9	NPEPPS	275	mRNA_splicing
IC9	SLC38A2	275	mRNA_splicing
IC9	TAOK1	275	mRNA_splicing
IC9	BAZ1A	275	mRNA_splicing
IC9	REST	275	mRNA_splicing
IC9	DDX17	275	mRNA_splicing
IC9	HNRNPR	275	mRNA_splicing
IC9	CREBBP	275	mRNA_splicing
IC9	ARHGAP21	275	mRNA_splicing
IC9	NUFIP2	275	mRNA_splicing
IC9	CNOT4	275	mRNA_splicing
IC9	GNL3	275	mRNA_splicing
IC9	HNRNPU	275	mRNA_splicing
IC9	EPRS	275	mRNA_splicing
IC9	CEP170	275	mRNA_splicing
IC9	MTF2	275	mRNA_splicing
IC9	PPP1R12A	275	mRNA_splicing
IC9	NCOR1	275	mRNA_splicing
IC9	APC	275	mRNA_splicing
IC9	MPHOSPH8	275	mRNA_splicing
IC9	AHCYL1	275	mRNA_splicing
IC9	U2SURP	275	mRNA_splicing
IC9	SMEK1	275	mRNA_splicing
IC9	HNRNPK	275	mRNA_splicing
IC9	HERC2	275	mRNA_splicing
IC9	SMARCC1	275	mRNA_splicing
IC9	CCNT2	275	mRNA_splicing
IC9	WDR26	275	mRNA_splicing
IC9	PSD3	275	mRNA_splicing
IC9	TTC19	275	mRNA_splicing
IC9	TRIP12	275	mRNA_splicing
IC9	MCM7	275	mRNA_splicing
IC9	PPP6R3	275	mRNA_splicing
IC9	ARGLU1	275	mRNA_splicing
IC9	WSB1	275	mRNA_splicing
IC9	SUPT16H	275	mRNA_splicing
IC9	CEP350	275	mRNA_splicing
IC9	SHISA9	275	mRNA_splicing
IC9	PDCD11	275	mRNA_splicing
IC9	PHIP	275	mRNA_splicing
IC9	EIF4B	275	mRNA_splicing
IC9	ZNF326	275	mRNA_splicing
IC9	RBPJ	275	mRNA_splicing
IC9	SPTAN1	275	mRNA_splicing
IC9	MED13	275	mRNA_splicing
IC9	SOX4	275	mRNA_splicing
IC9	LARP1	275	mRNA_splicing
IC9	ARFGEF2	275	mRNA_splicing
IC9	RBM17	275	mRNA_splicing
IC9	CNOT2	275	mRNA_splicing
IC9	KIDINS220	275	mRNA_splicing
IC9	KDM5B	275	mRNA_splicing
IC9	MBTPS1	275	mRNA_splicing
IC9	CLASP2	275	mRNA_splicing
IC9	ASXL1	275	mRNA_splicing
IC9	XPO6	275	mRNA_splicing
IC9	JMY	275	mRNA_splicing
IC9	PAFAH1B1	275	mRNA_splicing
IC9	NR2C1	275	mRNA_splicing
IC9	GIGYF2	275	mRNA_splicing
IC9	DDHD2	275	mRNA_splicing
IC9	FBXO21	275	mRNA_splicing
IC9	ATM	275	mRNA_splicing
IC9	RBM39	275	mRNA_splicing
IC9	PHF14	275	mRNA_splicing
IC9	CLTC	275	mRNA_splicing
IC9	AHCTF1	275	mRNA_splicing
IC9	PARP1	275	mRNA_splicing
IC9	BAZ2B	275	mRNA_splicing
IC9	GPATCH8	275	mRNA_splicing
IC9	ZC3H11A	275	mRNA_splicing
IC9	FAM208B	275	mRNA_splicing
IC9	ITM2B	275	mRNA_splicing
IC9	CLK1	275	mRNA_splicing
IC9	RAD50	275	mRNA_splicing
IC9	ACIN1	275	mRNA_splicing
IC9	SRPK2	275	mRNA_splicing
IC9	NFE2L2	275	mRNA_splicing
IC9	AKAP10	275	mRNA_splicing
IC9	DHX36	275	mRNA_splicing
IC9	NEAT1	275	mRNA_splicing
IC9	GOSR1	275	mRNA_splicing
IC9	VCP	275	mRNA_splicing
IC9	TP53BP1	275	mRNA_splicing
IC9	GOLGA4	275	mRNA_splicing
IC9	ZC3H13	275	mRNA_splicing
IC9	KCNQ1OT1	275	mRNA_splicing
IC9	MAB21L3	275	mRNA_splicing
IC9	XPO1	275	mRNA_splicing
IC9	ANKRD28	275	mRNA_splicing
IC9	TNPO1	275	mRNA_splicing
IC9	SPAG9	275	mRNA_splicing
IC9	MPHOSPH10	275	mRNA_splicing
IC9	SERBP1	275	mRNA_splicing
IC9	N4BP2L2	275	mRNA_splicing
IC9	WDR3	275	mRNA_splicing
IC9	SRSF2	275	mRNA_splicing
IC9	LRPPRC	275	mRNA_splicing
IC9	GON4L	275	mRNA_splicing
IC9	TSPAN3	275	mRNA_splicing
IC9	SBNO1	275	mRNA_splicing
IC9	IFI16	275	mRNA_splicing
IC9	YLPM1	275	mRNA_splicing
IC9	TIAL1	275	mRNA_splicing
IC9	SMARCA4	275	mRNA_splicing
IC9	ANKRD17	275	mRNA_splicing
IC9	METAP2	275	mRNA_splicing
IC9	HNRPDL	275	mRNA_splicing
IC9	STARD7	275	mRNA_splicing
IC9	RALGAPB	275	mRNA_splicing
IC9	LUC7L2	275	mRNA_splicing
IC9	USP33	275	mRNA_splicing
IC9	SNHG1	275	mRNA_splicing
IC9	TSPYL4	275	mRNA_splicing
IC9	LARS	275	mRNA_splicing
IC9	BRD2	275	mRNA_splicing
IC9	SYNE2	275	mRNA_splicing
IC9	UBR3	275	mRNA_splicing
IC9	CEBPZ	275	mRNA_splicing
IC10	LIPI	220	EwS
IC10	NPY1R	220	EwS
IC10	UGT3A2	220	EwS
IC10	ITM2A	220	EwS
IC10	HOOK1	220	EwS
IC10	TPTE2	220	EwS
IC10	CES1	220	EwS
IC10	KIAA1456	220	EwS
IC10	RBM11	220	EwS
IC10	PRKCB	220	EwS
IC10	HMCN1	220	EwS
IC10	BCL11B	220	EwS
IC10	APCDD1	220	EwS
IC10	CAV1	220	EwS
IC10	FAM84B	220	EwS
IC10	STEAP2	220	EwS
IC10	TNFAIP6	220	EwS
IC10	CLDN1	220	EwS
IC10	PTGER3	220	EwS
IC10	CALCB	220	EwS
IC10	GPR64	220	EwS
IC10	AC073135.3	220	EwS
IC10	ZIC2	220	EwS
IC10	PRSS35	220	EwS
IC10	STEAP1	220	EwS
IC10	SNX18	220	EwS
IC10	JAKMIP2	220	EwS
IC10	OLFM3	220	EwS
IC10	OLFML3	220	EwS
IC10	SLFN11	220	EwS
IC10	KDSR	220	EwS
IC10	DLG2	220	EwS
IC10	CCDC171	220	EwS
IC10	ABHD6	220	EwS
IC10	CCND1	220	EwS
IC10	CADPS2	220	EwS
IC10	MYO10	220	EwS
IC10	FCGRT	220	EwS
IC10	NELL2	220	EwS
IC10	PENK	220	EwS
IC10	PCDH11X	220	EwS
IC10	IL1RAP	220	EwS
IC10	IGF1	220	EwS
IC10	CPEB2	220	EwS
IC10	ADRB1	220	EwS
IC10	FAM46A	220	EwS
IC10	SLCO5A1	220	EwS
IC10	NTNG1	220	EwS
IC10	FAT4	220	EwS
IC10	TENM2	220	EwS
IC10	CAV2	220	EwS
IC10	JAK1	220	EwS
IC10	CDH8	220	EwS
IC10	FAM49A	220	EwS
IC10	GLG1	220	EwS
IC10	LDB2	220	EwS
IC10	PCSK2	220	EwS
IC10	TRPM4	220	EwS
IC10	ENPP1	220	EwS
IC10	CD99	220	EwS
IC10	MMP1	220	EwS
IC10	LONRF1	220	EwS
IC10	RP11-1258F18.1	220	EwS
IC10	IKZF2	220	EwS
IC10	ATP1A1	220	EwS
IC10	FNBP1	220	EwS
IC10	RP11-6C14.1	220	EwS
IC10	DKK2	220	EwS
IC10	DAPK1	220	EwS
IC10	ID2	220	EwS
IC10	CSRP1	220	EwS
IC10	AKR1C3	220	EwS
IC10	RNF141	220	EwS
IC10	LMO3	220	EwS
IC10	DNAJC12	220	EwS
IC10	CYYR1	220	EwS
IC10	FZD1	220	EwS
IC10	PCDH7	220	EwS
IC10	NDST4	220	EwS
IC10	TRDN	220	EwS
IC10	COL21A1	220	EwS
IC10	EPB41	220	EwS
IC10	DAB1	220	EwS
IC10	PRAC	220	EwS
IC10	RP13-16H11.1	220	EwS
IC10	FLRT2	220	EwS
IC10	RP13-16H11.2	220	EwS
IC10	SORD	220	EwS
IC10	TSPAN13	220	EwS
IC10	FLI1	220	EwS
IC10	MYEOV	220	EwS
IC10	IFITM1	220	EwS
IC10	KCNE4	220	EwS
IC10	KIAA1217	220	EwS
IC10	DLGAP1	220	EwS
IC10	KIAA1462	220	EwS
IC10	IFITM3	220	EwS
IC10	RCOR1	220	EwS
IC10	DCC	220	EwS
IC10	DUSP6	220	EwS
IC10	WASF1	220	EwS
IC10	SLC26A2	220	EwS
IC10	DLX5	220	EwS
IC10	TUBA4A	220	EwS
IC10	ZC3H13	220	EwS
IC10	ANXA1	220	EwS
IC10	ACTN2	220	EwS
IC10	BDP1	220	EwS
IC10	CDH11	220	EwS
IC10	EFNB1	220	EwS
IC10	MYC	220	EwS
IC10	LRRC4C	220	EwS
IC10	GLCE	220	EwS
IC10	KIT	220	EwS
IC10	TRAV1-2	220	EwS
IC10	NMI	220	EwS
IC10	CCK	220	EwS
IC10	SOX6	220	EwS
IC10	AKAP7	220	EwS
IC10	NCKAP1L	220	EwS
IC10	MFAP4	220	EwS
IC10	H2AFY2	220	EwS
IC10	CACNB2	220	EwS
IC10	HES1	220	EwS
IC10	ADAMTS4	220	EwS
IC10	RP11-252A24.7	220	EwS
IC10	KMO	220	EwS
IC10	GSTM4	220	EwS
IC10	EPHA4	220	EwS
IC10	LOXHD1	220	EwS
IC10	CDK14	220	EwS
IC10	ZEB2	220	EwS
IC10	GSTM1	220	EwS
IC10	BARX2	220	EwS
IC10	FADS1	220	EwS
IC10	CAPRIN1	220	EwS
IC10	TNC	220	EwS
IC10	PKP1	220	EwS
IC10	EBF3	220	EwS
IC10	IRS2	220	EwS
IC10	C7	220	EwS
IC10	SLAIN1	220	EwS
IC10	PARD6B	220	EwS
IC10	UHMK1	220	EwS
IC10	YPEL5	220	EwS
