IC	Gene	n_genes	phenotype
IC2	ANKRD32	291	G1S
IC2	UBE2T	291	G1S
IC2	ASF1B	291	G1S
IC2	TIMELESS	291	G1S
IC2	CENPJ	291	G1S
IC2	DNA2	291	G1S
IC2	MELK	291	G1S
IC2	VRK1	291	G1S
IC2	POLA1	291	G1S
IC2	CDCA5	291	G1S
IC2	BARD1	291	G1S
IC2	PSMC3IP	291	G1S
IC2	ZWILCH	291	G1S
IC2	FANCD2	291	G1S
IC2	KIAA0101	291	G1S
IC2	BLM	291	G1S
IC2	BRIP1	291	G1S
IC2	TK1	291	G1S
IC2	MSH6	291	G1S
IC2	MAD2L1	291	G1S
IC2	XRCC2	291	G1S
IC2	CENPQ	291	G1S
IC2	CEP152	291	G1S
IC2	TIPIN	291	G1S
IC2	TMEM106C	291	G1S
IC2	RAD54L	291	G1S
IC2	GINS1	291	G1S
IC2	MASTL	291	G1S
IC2	CASP8AP2	291	G1S
IC2	POLQ	291	G1S
IC2	EZH2	291	G1S
IC2	TMEM194A	291	G1S
IC2	LIG1	291	G1S
IC2	POLE2	291	G1S
IC2	CHAF1A	291	G1S
IC2	ATAD5	291	G1S
IC2	RAD51	291	G1S
IC2	DHFR	291	G1S
IC2	DDX11	291	G1S
IC2	ZNF367	291	G1S
IC2	ARL6IP6	291	G1S
IC2	SMC2	291	G1S
IC2	FBXO5	291	G1S
IC2	TOPBP1	291	G1S
IC2	RMI1	291	G1S
IC2	SLC20A1	291	G1S
IC2	NCAPD3	291	G1S
IC2	POLA2	291	G1S
IC2	CHEK1	291	G1S
IC2	C11orf82	291	G1S
IC2	LRR1	291	G1S
IC2	FANCA	291	G1S
IC2	NCAPG	291	G1S
IC2	RBL1	291	G1S
IC2	FANCB	291	G1S
IC2	HIST1H4C	291	G1S
IC2	NUP85	291	G1S
IC2	HIRIP3	291	G1S
IC2	USP1	291	G1S
IC2	NCAPG2	291	G1S
IC2	DCTPP1	291	G1S
IC2	MYO19	291	G1S
IC2	RPA2	291	G1S
IC2	RFWD3	291	G1S
IC2	RECQL	291	G1S
IC2	C4orf46	291	G1S
IC2	HAT1	291	G1S
IC2	C19orf48	291	G1S
IC2	NASP	291	G1S
IC2	HAUS5	291	G1S
IC2	UNG	291	G1S
IC2	MNS1	291	G1S
IC2	MND1	291	G1S
IC2	TEX30	291	G1S
IC2	CENPM	291	G1S
IC2	E2F7	291	G1S
IC2	CCDC15	291	G1S
IC2	HMGB2	291	G1S
IC2	UBR7	291	G1S
IC2	RAD18	291	G1S
IC2	CDCA7L	291	G1S
IC2	CTPS1	291	G1S
IC2	SMC1A	291	G1S
IC2	EXOSC9	291	G1S
IC2	MRE11A	291	G1S
IC2	RPA1	291	G1S
IC2	MYBL2	291	G1S
IC2	USP37	291	G1S
IC2	FAM111A	291	G1S
IC2	NUP62	291	G1S
IC2	STIL	291	G1S
IC2	CENPO	291	G1S
IC2	MTHFD1	291	G1S
IC2	YEATS4	291	G1S
IC2	PLK4	291	G1S
IC2	TTI1	291	G1S
IC2	NUP107	291	G1S
IC2	C20orf72	291	G1S
IC2	DDB2	291	G1S
IC2	KIF15	291	G1S
IC2	CCP110	291	G1S
IC2	TOP3A	291	G1S
IC2	GGCT	291	G1S
IC2	DNMT1	291	G1S
IC2	E2F2	291	G1S
IC2	ZNF738	291	G1S
IC2	DEK	291	G1S
IC2	RPA3	291	G1S
IC2	EED	291	G1S
IC2	HSPB11	291	G1S
IC2	GINS3	291	G1S
IC2	NR2C2AP	291	G1S
IC2	SASS6	291	G1S
IC2	CCDC14	291	G1S
IC2	FN3KRP	291	G1S
IC2	TMEM116	291	G1S
IC2	SKP2	291	G1S
IC2	SLBP	291	G1S
IC2	DONSON	291	G1S
IC2	PHGDH	291	G1S
IC2	OMD	291	G1S
IC2	NRM	291	G1S
IC2	DUT	291	G1S
IC2	NUSAP1	291	G1S
IC2	DCK	291	G1S
IC2	MCM8	291	G1S
IC2	SLC43A3	291	G1S
IC2	HAUS1	291	G1S
IC2	HNRNPF	291	G1S
IC2	PRIM2	291	G1S
IC2	PLSCR1	291	G1S
IC2	PMS1	291	G1S
IC2	SHMT1	291	G1S
